Code,Name,Price,Retail Price,Stock Level,Product UPC/EAN,Sold out?,Clearance?
12612,Skeleton with Lighted Lantern,27.49,39.95,0,849179003258,FALSE,FALSE
12615,Tipsy Elephant Wine Bottle Holder,16.26,24.95,475,849179000288,FALSE,FALSE
12643,Meditative Monk Trinket Box,7.95,11.99,1030,849179000509,FALSE,FALSE
12652,Glass I Love You Desktop Cube,5.5,7.95,26,849179000844,FALSE,FALSE
12657,Rooster Iron Overhead Kitchen Rack,57.26,89.95,455,849179010287,FALSE,FALSE
12674,Art Glass Foldable Handbag Hook,4.12,5.95,53,817515012196,FALSE,FALSE
12683,Glass Plant Watering Globes,8.63,11.95,977,849179010294,FALSE,FALSE
12690,Wagon Wheel Themed Garden Bench,140.26,199.95,144,849179010324,FALSE,FALSE
12691,Wagon Wheel Themed Planter with Buckets,70.52,99.95,87,849179010331,FALSE,FALSE
12694,Medieval Dragon Stein,13.2,17.95,9,849179003982,FALSE,FALSE
12698,Renaissance Style Wall Crucifix,27.49,39.95,149,849179001568,FALSE,FALSE
12773,Porcelain Outstretched Hands Oil Warmer,3.32,5.95,147,849179001599,FALSE,FALSE
12774,Moss Green Porcelain Tear Drop Oil Warmer,3.32,5.95,201,849179010348,FALSE,FALSE
12785,Squirrel's Tail Bird Feeder,6.9,9.95,609,849179010355,FALSE,FALSE
12788,Clever Squirrel Tree Decoration,11.87,19.95,0,849179010362,FALSE,FALSE
12793,Calla Lily Candleholder with Amber Glass,35.46,59.95,672,849179010379,FALSE,FALSE
12794,Silver Calla Lily Candle Holder,40.84,69.95,565,849179000257,FALSE,FALSE
12841,Stone-Look Water Fountain - Solar or Cord Power,168.12,249.95,73,849179010386,FALSE,FALSE
12842,Fairies Water Fountain - Solar or Cord Power,215.74,299.95,21,849179010393,FALSE,FALSE
12844,Modern Temple Fountain - Solar or Cord Power,168.12,249.95,45,849179010409,FALSE,FALSE
12859,Stone-Look Hand of Buddha Tabletop Fountain,32.55,49.95,0,849179001605,FALSE,FALSE
12930,Skull Pattern Luggage Set,127.31,199.95,152,849179010416,FALSE,FALSE
12967,Solar-Lighted Birdbath and Planter,33.81,59.95,164,849179003272,FALSE,FALSE
12981,Swirled Art Glass Vase,64.13,99.95,208,849179010423,FALSE,FALSE
12982,Handcrafted Art Glass Vase,51.51,79.95,146,849179001612,FALSE,FALSE
13000,Recycled Cotton Canvas Hammock,42.72,69.95,270,849179004835,FALSE,FALSE
13029,Customizable Photo Wall Clock,9.74,14.95,319,849179010430,FALSE,FALSE
13046,Small Wood-Look Lucky Elephant,11.87,16.95,9,849179002749,FALSE,FALSE
13047,Large Wood-Look Lucky Elephant,25.51,34.95,419,849179001650,FALSE,FALSE
13048,Smooching Giraffes Set,24.65,34.95,1573,849179001667,FALSE,FALSE
13053,Zen Garden with Candle Holder,7.31,12.95,0,849179010447,FALSE,FALSE
13055,Majestic Lion Outdoor Fountain,70.52,109.95,169,849179006242,FALSE,FALSE
13056,Cowboy Themed Garden Fountain,85.61,129.95,625,849179000264,FALSE,FALSE
13057,Playful Children at the Well Fountain,141.21,219.95,149,849179010454,FALSE,FALSE
13067,Three-in-One Shaving & Grooming Set,13.87,19.95,35,849179010461,FALSE,FALSE
13121,Multi-Function Pen with Built-In Tools,1.46,1.99,3291,849179014797,FALSE,FALSE
D1082,Clear Glass Moroccan Candle Lantern - 12.5 inches,10.54,16.95,291,849179012694,FALSE,FALSE
13176,Iron Candle Lantern Tower - 13 inches,9.21,14.95,0,849179010478,FALSE,FALSE
13178,Black Matte Hummingbird Windchimes,5.57,7.99,0,849179014469,FALSE,FALSE
13185,Iron Tricycle Plant Stand,26.24,39.95,0,849179010485,FALSE,FALSE
13199,Fairy Riding Dragon with Color-Changing Crystals,8.29,12.95,495,849179001698,FALSE,FALSE
13202,Moroccan-Style Candle Tower - 22 inches,13.2,24.95,668,849179003289,FALSE,FALSE
13224,Solar-Powered Frog Garden Lights,22.44,29.95,852,849179010508,FALSE,FALSE
13226,Cottage Romance Coffee Table,99.51,159.95,246,849179005115,FALSE,FALSE
13240,Dragon Skull Trinket Box,9.54,12.95,0,849179003296,FALSE,FALSE
13244,Emerald Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,0,849179010515,FALSE,FALSE
13245,Ruby Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,785,849179010522,FALSE,FALSE
13246,Iron Cutout Candle Lantern - 11.5 inches,6.9,10.95,918,849179000455,FALSE,FALSE
13249,Shower Gels & Bath Fizzers in Fruit Scents,7.89,14.95,0,849179006426,FALSE,FALSE
13342,10.5-inch Elvis Figurine,13,39.95,0,720583001231,TRUE,FALSE
13347,Iron Classic Candle Lantern - 17.5 inches,28.82,39.95,1302,849179010539,FALSE,FALSE
13349,Animal Print Luggage Set,177.85,249.95,98,849179006334,FALSE,FALSE
13356,Ornate White Cutout Candle Lantern - 25 inches,28.82,49.95,471,849179010546,FALSE,FALSE
13357,Ornate Black Cutout Candle Lantern - 25 inches,27.49,49.95,177,849179001728,FALSE,FALSE
13359,Ornate Black Cutout Candle Lantern - 19 inches,18.5,29.95,69,849179001766,FALSE,FALSE
13360,Victorian Style White Candle Lantern - 8 inches,7.89,9.95,1547,849179001780,FALSE,FALSE
13361,Victorian Style Black Candle Lantern - 8 inches,7.31,10.95,4182,849179010553,FALSE,FALSE
13362,Victorian Style White Candle Lantern - 10.5 inches,10.54,14.95,1223,849179000318,FALSE,FALSE
13363,Victorian Style Black Candle Lantern - 16 inches,22.44,39.95,1770,849179010560,FALSE,FALSE
13364,Lacy Cutout White Candle Lantern - 12 inches,11.87,16.95,5,849179001803,FALSE,FALSE
13365,Lacy Cutout Black Candle Lantern - 12 inches,11.87,19.95,879,849179000325,FALSE,FALSE
13366,Lacy Cutout Copper-Tone Candle Lantern - 9.5 inches,10.54,14.95,0,849179001810,FALSE,FALSE
