CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
COSMETICS ;309973378032;30997337803;ALMAY GTUP/GRW WTRPRF MSC BL/BR;48;24;2;$3,89;$186,72;10;;$0,00;
COSMETICS ;309979590032;30997959003;ALMAY INTENSE I/LNR BLK 27GM   ;72;36;2;$3,75;$270,00;33;;$0,00;
COSMETICS ;309979590025;30997959002;ALMAY INTENSE I/LNR BROWN 27GM ;72;36;2;$3,75;$270,00;11;;$0,00;
COSMETICS ;309979590018;30997959001;ALMAY INTENSE I/LNR PRPLE 27GM ;72;36;2;$3,80;$273,60;5;;$0,00;
COSMETICS ;309979590049;30997959004;ALMAY INTENSE I/LNR RAISIN 27GM;72;36;2;$3,75;$270,00;25;;$0,00;
COSMETICS ;309976599021;30997659902;ALMAY INTNS E/LINER .8 OZ BRWN ;72;36;2;$3,75;$270,00;7;;$0,00;
COSMETICS ;309976599038;30997659903;ALMAY INTNS E/LINER .8OZ BLK#23;72;36;2;$3,75;$270,00;5;;$0,00;
COSMETICS ;309975179040;30997517904;ALMAY INTNS I/C PWDR GREENS    ;48;24;2;$2,87;$137,76;26;;$0,00;
COSMETICS ;309975179033;30997517903;ALMAY INTNS I/C PWDR HAZEL     ;48;24;2;$2,81;$134,88;25;;$0,00;
COSMETICS ;309972419019;30997241901;ALMAY INTNS I/C SHIMMER BROWN  ;48;24;2;$3,69;$177,12;4;;$0,00;
COSMETICS ;309972419033;30997241903;ALMAY INTNS I/C SHMMR HAZEL.12Z;48;24;2;$2,92;$140,16;7;;$0,00;
COSMETICS ;309975513042;30997551304;ALMAY INTNS I/C SMOKY GREEN#404;48;24;2;$3,58;$171,84;1;;$0,00;
COSMETICS ;309975513011;30997551301;ALMAY INTNS I/C SMOKY-I BROWN  ;48;24;2;$2,92;$140,16;14;;$0,00;
COSMETICS ;309974521031;30997452103;ALMAY LASH CARE M/UP RMVR 80 CT;72;36;2;$2,91;$209,52;32;;$0,00;
COSMETICS ;309975045017;30997504501;ALMAY LIQ EYELINER .10 OZ BLACK;72;36;2;$3,77;$271,44;19;;$0,00;
COSMETICS ;309975045024;30997504502;ALMAY LIQ EYELINER .10 OZ BROWN;72;36;2;$3,70;$266,40;10;;$0,00;
COSMETICS ;309976599014;30997659901;ALMAY LIQ EYELINER .8OZ AMTHYST;72;36;2;$3,70;$266,40;7;;$0,00;
COSMETICS ;309977415719;30997741571;ALMAY MAKEUP REMOVER PADS 120CT;72;36;2;$4,18;$300,96;12;;$0,00;
COSMETICS ;309975924480;30997592448;ALMAY MOIST MAKEUP RMVR PADS 80;72;36;2;$2,83;$203,76;73;;$0,00;
COSMETICS ;309977577080;30997757708;ALMAY OIL/F EYE M/UP RMV LIQ 4Z;48;24;2;$2,87;$137,76;24;;$0,00;
COSMETICS ;309974521000;30997452100;ALMAY SOOTH/DEPUF EYE RMVR 80'S;72;36;2;$2,84;$204,48;11;;$0,00;
COSMETICS ;77379117714;7737911771;ALMAY THCKENG MASCARA BK BRN .4;72;36;2;$3,45;$248,40;35;;$0,00;
COSMETICS ;77379117707;7737911770;ALMAY THCKENG MASCARA BLACK .4Z;72;36;2;$3,45;$248,40;17;;$0,00;
COSMETICS ;309976701011;30997670101;ALMAY UNDER EYE CONCEAL LTE .22;48;24;2;$4,50;$216,00;11;;$0,00;
COSMETICS ;309976701028;30997670102;ALMAY UNDER EYE CONCL LT/MED.22;48;24;2;$4,43;$212,64;34;;$0,00;
COSMETICS ;309976701035;30997670103;ALMAY UNDER EYE CONCL MED .22  ;48;24;2;$4,43;$212,64;1;;$0,00;
COSMETICS ;78462245109;7846224510;ANDREA STRIP LASHES 45 1PK     ;72;18;4;$1,82;$131,04;8;;$0,00;
COSMETICS ;74764750105;7476475010;ARDEL BROW SCULPT GEL .25 CLR  ;24;8;3;$1,95;$46,80;5;;$0,00;
COSMETICS ;74764613103;7476461310;ARDEL DEMI LASH #113 BLACK     ;72;18;4;$1,76;$126,72;15;;$0,00;
COSMETICS ;74764620101;7476462010;ARDEL DEMI LASH #120 BLACK     ;72;18;4;$1,80;$129,60;13;;$0,00;
COSMETICS ;74764625106;7476462510;ARDEL DEMI LASH #125 BLACK     ;72;18;4;$1,74;$125,28;1;;$0,00;
COSMETICS ;74764305503;7476430550;ARDEL DURALASH STARTER KIT     ;36;9;4;$4,55;$163,80;3;;$0,00;
COSMETICS ;74764618214;7476461821;ARDEL EDGY EYELASH BLCK #401   ;72;18;4;$1,80;$129,60;7;;$0,00;
COSMETICS ;74764301109;7476430110;ARDEL FALSE LASH BLK           ;72;18;4;$1,77;$127,44;35;;$0,00;
COSMETICS ;74764611383;7476461138;ARDEL FASHION LASHES BLACK #138;72;18;4;$1,79;$128,88;11;;$0,00;
COSMETICS ;74764613011;7476461301;ARDEL LASH ACCENT #301 BLACK   ;72;18;4;$1,83;$131,76;1;;$0,00;
COSMETICS ;74764613349;7476461334;ARDEL LASH LITE #334           ;72;6;12;$1,72;$123,84;12;;$0,00;
COSMETICS ;74764613356;7476461335;ARDEL LASH LITE #335           ;72;18;4;$1,76;$126,72;17;;$0,00;
COSMETICS ;74764600875;7476460087;ARDEL NAT EYELASH KIT #110 BLCK;36;9;4;$3,05;$109,80;3;;$0,00;
COSMETICS ;74764617699;7476461769;ARDEL TWIN PACK LASHES #105    ;36;9;4;$2,83;$101,88;24;;$0,00;
COSMETICS ;74764618221;7476461822;ARDELL EDGY EYELASH BLCK #402  ;72;18;4;$1,73;$124,56;9;;$0,00;
COSMETICS ;74764618238;7476461823;AREDEL EDGY EYELASH BLCK #403  ;72;18;4;$1,73;$124,56;12;;$0,00;
COSMETICS ;381371157198;38137115719;AVEENO POS RAD M/U REMVR WPS 25;6;1;6;$4,80;$28,80;1399;;$0,00;
COSMETICS ;22700122202;2270012220;COVERG CLN PRES PWDR SOFT HONEY;72;36;2;$4,62;$332,64;5;;$0,00;
COSMETICS ;22700122134;2270012213;COVERG CLN PRS PWDR CLASS BEIGE;72;36;2;$4,62;$332,64;1;;$0,00;
COSMETICS ;22700127054;2270012705;COVERG FUSHION MASCARA BLACK   ;72;24;3;$5,92;$426,24;9;;$0,00;
COSMETICS ;46200000082;4620000008;COVERG OUTLAST RAVING HOT      ;72;1;72;$0,17;$12,24;46;;$0,00;
COSMETICS ;22700097777;2270009777;COVERGIRL #800 L/BLST MASC VBLK;72;24;3;$5,05;$363,60;54;;$0,00;
COSMETICS ;22700097784;2270009778;COVERGIRL #805 L/BLST VOLM BLCK;72;24;3;$4,99;$359,28;54;;$0,00;
COSMETICS ;22700097753;2270009775;COVERGIRL #830 L/BLST MASC BLCK;72;24;3;$4,74;$341,28;20;;$0,00;
COSMETICS ;22700127047;2270012704;COVERGIRL #860 L/BLST VERY BLK ;72;24;3;$5,73;$412,56;45;;$0,00;
COSMETICS ;22700131884;2270013188;COVERGIRL #885 L/BLST WR V/BLK ;72;24;3;$6,04;$434,88;28;;$0,00;
COSMETICS ;8100004126;810000412;COVERGIRL LIQ M/UP CRMY NATURAL;72;36;2;$4,66;$335,52;1;;$0,00;
COSMETICS ;8100009626;810000962;COVERGIRL TB FIXSTK CONC DEEP  ;72;36;2;$4,27;$307,44;5;;$0,00;
COSMETICS ;41554240405;4155424040;MAYBEL FALSIES BLK DRAMA WTRPRF;72;12;6;$3,56;$256,32;50;;$0,00;
COSMETICS ;41554626964;4155462696;MAYBEL GREAT LASH BLACK MASCARA;72;12;6;$3,28;$236,16;19;;$0,00;
COSMETICS ;41554291681;4155429168;MAYBELINE CLN EXPRS TOWELET    ;24;8;3;$2,34;$56,16;139;;$0,00;
COSMETICS ;41554288254;4155428825;MAYBELINE VOL EXP CAT EYES BLK ;72;12;6;$3,51;$252,72;47;;$0,00;
COSMETICS ;41554050905;4155405090;MAYBELLIN MASCARA CLSC BLK .31Z;72;12;6;$3,33;$239,76;58;;$0,00;
COSMETICS ;41554197037;4155419703;MAYBELLINE COLOS WTRPRF BLK .27;72;12;6;$3,21;$231,12;26;;$0,00;
COSMETICS ;41554220391;4155422039;MAYBELLINE INSTNT REWND 1Z NAT ;72;36;2;$4,83;$347,76;13;;$0,00;
COSMETICS ;41554050899;4155405089;MAYBELLINE MASCARA GLAM BLK .31;72;12;6;$3,45;$248,40;43;;$0,00;
COSMETICS ;717489875011;71748987501;MILANI EYE TECH LIQ .15Z BLACK ;48;16;3;$3,48;$167,04;39;;$0,00;
COSMETICS ;717489730013;5660;MILANI EYE TECH LIQ .33Z BLACK ;48;16;3;$3,54;$169,92;19;;$0,00;
COSMETICS ;717489877053;74898707053;MILANI INFINITE LIQ .17Z EVRLST;48;16;3;$3,05;$146,40;65;;$0,00;
COSMETICS ;70501051054;7050105105;NEUT CLN/MKE-UP RMVR REFIL 25CT;6;1;6;$4,30;$25,80;14111;;$0,00;
COSMETICS ;70501025277;7050102527;NEUT NATL PURIFY M/U WIPES 25CT;6;1;6;$5,31;$31,86;653;;$0,00;
COSMETICS ;309973212039;30997321203;REV #003 PHOTO READY CONCL LT/M;72;36;2;$5,15;$370,80;23;;$0,00;
COSMETICS ;309972692023;30997269202;REV #105 BRWN FANTASY BRUNETTE ;72;36;2;$3,75;$270,00;41;;$0,00;
COSMETICS ;309971822063;30997182206;REV #108 LT BROWN PENCIL & GEL ;72;36;2;$3,71;$267,12;27;;$0,00;
COSMETICS ;309972692047;30997269204;REV BROW FANTASY #106 DK BRWN  ;72;36;2;$3,75;$270,00;2;;$0,00;
COSMETICS ;309976382036;30997638203;REV C/STAY #003 I/LINE BLK/BRWN;48;24;2;$4,43;$212,64;10;;$0,00;
COSMETICS ;309973978010;30997397801;REV C/STAY #201 I/LINER BLACK  ;72;36;2;$3,71;$267,12;57;;$0,00;
COSMETICS ;309973978027;30997397802;REV C/STAY #202 I/LINER BLK BRN;72;36;2;$3,70;$266,40;35;;$0,00;
COSMETICS ;309973978034;30997397803;REV C/STAY #203 I/LINER BROWN  ;72;36;2;$3,75;$270,00;52;;$0,00;
COSMETICS ;309973978041;30997397804;REV C/STAY #204 I/LINER CHRCOAL;72;36;2;$3,75;$270,00;43;;$0,00;
COSMETICS ;309974209014;30997420901;REV C/STAY #251 LIQ E/LNR BLK  ;72;36;2;$3,80;$273,60;27;;$0,00;
COSMETICS ;309974209021;30997420902;REV C/STAY #252 LIQ E/LN BK/BRW;72;36;2;$3,75;$270,00;2;;$0,00;
COSMETICS ;309975424027;30997542402;REV C/STAY #820 PRSS PWD LIGHT ;36;18;2;$5,03;$181,08;41;;$0,00;
COSMETICS ;309975424034;30997542403;REV C/STAY #830 PRSS PWD LT BRN;36;18;2;$5,09;$183,24;80;;$0,00;
COSMETICS ;309975424041;30997542404;REV C/STAY #840 PRESS PWDR MED ;36;18;2;$5,03;$181,08;36;;$0,00;
COSMETICS ;309974125024;30997412502;REV C/STAY CREME GEL I/LIN BRWN;48;24;2;$4,05;$194,40;13;;$0,00;
COSMETICS ;309974125048;30997412504;REV C/STAY CREME GEL I/LIN CHAR;48;24;2;$2,95;$141,60;18;;$0,00;
COSMETICS ;309974125031;30997412503;REV C/STAY CREME GEL I/LIN PLUM;48;24;2;$4,38;$210,24;3;;$0,00;
COSMETICS ;309976382012;30997638201;REV C/STAY LIQ I/LINER BLACKEST;48;24;2;$4,57;$219,36;17;;$0,00;
COSMETICS ;309975424010;30997542401;REV C/STAY PRESS POWDER FAIR   ;36;18;2;$5,03;$181,08;29;;$0,00;
COSMETICS ;309976300085;30997630008;REV C/STAY PRESS POWDER TRNSLCN;36;18;2;$4,98;$179,28;25;;$0,00;
COSMETICS ;309975424058;30997542405;REV C/STAY PRSS PWDR MED/DEEP  ;36;18;2;$5,09;$183,24;12;;$0,00;
COSMETICS ;309975481013;30997548101;REV LUX CLR #501 E/L 1.22 BKVEL;72;36;2;$4,86;$349,92;1;;$0,00;
COSMETICS ;309975481020;30997548102;REV LUX CLR #502 E/L 1.22 SUEDB;72;36;2;$4,56;$328,32;2;;$0,00;
COSMETICS ;87300272221;8730030167;SIMPLE MAKE UP REMVR PADS 30CT ;6;1;6;$3,35;$20,10;256;;$0,00;
COTTON PRODUCTS;305215070009;30521507000;Q-TIPS 170'S                   ;144;24;6;$1,30;$187,20;88;;$0,00;
COTTON PRODUCTS;305210179004;30521032477;Q-TIPS 300 COUNT A/MICROBIAL   ;12;1;12;$1,84;$22,08;744;;$0,00;
COTTON PRODUCTS;305210221277;30521022127;Q-TIPS 36/30 CT PURSE PACK CARD;36;1;36;$0,71;$25,56;726;;$0,00;
COTTON PRODUCTS;305215163282;30521516328;Q-TIPS 375'S                   ;24;2;12;$1,93;$46,32;412;;$0,00;
COTTON PRODUCTS;305215007005;30521512800;Q-TIPS 500'S                   ;24;2;12;$2,54;$60,96;313;;$0,00;
COTTON PRODUCTS;305215251002;30521525100;Q-TIPS 625 CT                  ;24;2;12;$3,14;$75,36;244;;$0,00;
COUGH DROPS;363824710167;36382471016;CEPACOL LOZ MAX NUMB CHRY 16CT ;24;6;4;$2,54;$60,96;314;;$0,00;
COUGH DROPS;363824730165;36382473016;CEPACOL LOZ MAX NUMB HNY/LEM 16;24;6;4;$2,51;$60,24;119;;$0,00;
COUGH DROPS;312546629288;31254662184;HALLS BAG 30'S 12/BX ICE BLUE  ;48;4;12;$1,32;$63,36;33;;$0,00;
COUGH DROPS;312546623804;31254662186;HALLS BAG 30'S 12/BX STRAWBERRY;48;4;12;$1,46;$70,08;89;;$0,00;
COUGH DROPS;312546629202;31254662619;HALLS PLUS 25'S 12/BX CHERRY   ;48;4;12;$1,47;$70,56;186;;$0,00;
COUGH DROPS;312546627710;31254662476;HALLS STK 9'S 20/BX CHERRY     ;480;24;20;$0,58;$278,40;63;;$0,00;
COUGH DROPS;312546628724;31254662477;HALLS STK 9'S 20/BX HONEY LEMON;480;24;20;$0,59;$283,20;143;;$0,00;
COUGH DROPS;312546629103;31254662478;HALLS STK 9'S 20/BX ICE BLUE   ;480;24;20;$0,49;$235,20;63;;$0,00;
COUGH DROPS;312546629707;31254662479;HALLS STK 9'S 20/BX MENTHOLYP  ;480;24;20;$0,63;$302,40;4;;$0,00;
COUGH DROPS;312546627369;31254662475;HALLS STK 9'S 20/BX SPEARMINT  ;480;24;20;$0,52;$249,60;63;;$0,00;
COUGH DROPS;312546623682;31254662367;HALLS STK 9'S 20/BX STRAWBERY  ;480;24;20;$0,48;$230,40;63;;$0,00;
COUGH DROPS;312546632639;31254663262;HALLS SUG/FREE 25S ASSRTED MINT;48;4;12;$1,52;$72,96;9;;$0,00;
COUGH DROPS;36602301849;3660230184;RICOLA 19'S MIXED BERRY CS24   ;24;2;12;$1,48;$35,52;168;;$0,00;
COUGH DROPS;36602192102;3660219210;RICOLA 19'S SUG-FR LMN MNT CS24;24;2;12;$1,51;$36,24;81;;$0,00;
COUGH DROPS;36602192096;3660219209;RICOLA 19'S SUG-FR MTN HRB CS24;24;2;12;$1,51;$36,24;105;;$0,00;
COUGH DROPS;36602079175;3660207917;RICOLA BAG 21'S CS/24 ORIGINAL ;24;2;12;$1,51;$36,24;586;;$0,00;
COUGH DROPS;36602072909;3660207290;RICOLA BAG 24'S CS/24 CHRYHONEY;24;2;12;$1,47;$35,28;586;;$0,00;
COUGH DROPS;36602301467;3660230146;RICOLA BAG 24'S CS/24 ECH LMNQQ;24;2;12;$1,29;$30,96;84;;$0,00;
COUGH DROPS;36602300019;3660230001;RICOLA BAG 24'S CS/24 HONEYHERB;24;2;12;$1,46;$35,04;586;;$0,00;
COUGH DROPS;36602079489;3660207948;RICOLA BAG 24'S CS/24 LEMON/MNT;24;2;12;$1,47;$35,28;586;;$0,00;
COUGH DROPS;36602300255;3660230025;RICOLA BAG 45CT HNY LEMON FAMPK;36;1;36;$3,11;$111,96;1;;$0,00;
DENTURE NEEDS;47701001950;4770100195;DENTEK CMFRT PICKS 150CT CLN MN;36;6;6;$2,03;$73,08;161;;$0,00;
DENTURE NEEDS;47701001905;4770100190;DENTEK CMFRT PICKS 150CT FRSH  ;36;6;6;$1,73;$62,28;268;;$0,00;
DENTURE NEEDS;47701000922;4770125092;DENTEK COMFORT CLN FLOSS 90CT  ;72;1;72;$1,51;$108,72;174;;$0,00;
DENTURE NEEDS;47701002032;4770125203;DENTEK E-Z BRUSH CLEANERS 16CT ;36;6;6;$1,84;$66,24;407;;$0,00;
DENTURE NEEDS;47701000809;4770100080;DENTEK FLOSS PICKS 30CT        ;72;12;6;$0,55;$39,60;330;;$0,00;
DENTURE NEEDS;47701000816;4770100081;DENTEK FLOSSER MINT  90 CT     ;72;12;6;$1,29;$92,88;187;;$0,00;
DENTURE NEEDS;47701002247;4770100224;DENTEK SLIM BRUSH 32 CT        ;36;6;6;$1,94;$69,84;209;;$0,00;
DENTURE NEEDS;47701000397;4770100039;DENTEK TONGUE SCRAPER 1 CT     ;72;12;6;$1,00;$72,00;118;;$0,00;
DENTURE NEEDS;10705400814;1070540081;DENTEMP CUSTOM DENTAL CEMENT 1P;144;24;6;$2,38;$342,72;3;;$0,00;
DENTURE NEEDS;10705400302;1070540030;DENTEMP DENTURE WIPES 40 CT    ;48;8;6;$1,62;$77,76;9;;$0,00;
DENTURE NEEDS;814832010034;81483201003;EFFERDENT 120'S              QQ;6;1;6;$3,86;$23,16;634;;$0,00;
DENTURE NEEDS;76660008649;7666030038;FIXODENT 1.4 OZ. REG           ;24;4;6;$2,37;$56,88;319;;$0,00;
DENTURE NEEDS;76660725362;7666072536;FIXODENT 1.6 OZ EXHOLD POWDER  ;24;4;6;$3,33;$79,92;11;;$0,00;
DENTURE NEEDS;76660300217;7666030045;FIXODENT 2 OZ PLUS GUM CARE    ;24;4;6;$3,49;$83,76;204;;$0,00;
DENTURE NEEDS;76660300514;7666030051;FIXODENT 2 OZ PLUS SCOPE       ;24;4;6;$3,76;$90,24;682;;$0,00;
DENTURE NEEDS;76660004658;7666030042;FIXODENT 2.4 OZ  FRESH         ;24;4;6;$3,90;$93,60;217;;$0,00;
DENTURE NEEDS;76660008663;7666030041;FIXODENT 2.4 OZ. REG           ;24;4;6;$3,98;$95,52;204;;$0,00;
DENTURE NEEDS;76660740648;7666074064;FIXODENT 2.7 OZ EXHOLD POWDER  ;24;4;6;$4,98;$119,52;18;;$0,00;
DENTURE NEEDS;76660300026;7666030044;FIXODENT FREE 2.4 OZ ORIG      ;24;4;6;$4,01;$96,24;263;;$0,00;
DENTURE NEEDS;310158054504;31015805450;SUPER POLIGRIP 1.4 OZ ORIG CRM ;24;4;6;$3,35;$80,40;25;;$0,00;
DEODORANTS;33200197249;3320019724;A&H A/P ULT MAX WD STK FRSH 2.6;12;2;6;$1,91;$22,92;771;;$0,00;
DEODORANTS;33200197447;3320019744;A&H A/P ULT MAX WD STK SPRT 2.6;12;2;6;$1,94;$23,28;771;;$0,00;
DEODORANTS;33200197140;3320019714;A&H A/P ULT MAX WD STK UNSC 2.6;12;2;6;$2,04;$24,48;244;;$0,00;
DEODORANTS;33200194705;3320019470;A&H U/MAX 2.6OZ INV PWD FR     ;12;2;6;$1,95;$23,40;771;;$0,00;
DEODORANTS;33200191223;3320019122;A&H ULTRAMAXX 1 OZ FRESH SCNT  ;12;2;6;$0,73;$8,76;296;;$0,00;
DEODORANTS;309973664005;30997366400;ALMAY CLR GEL A/P 2.25OZ UNS   ;24;4;6;$1,72;$41,28;914;;$0,00;
DEODORANTS;22600050629;2260005062;ARRID R/O 2.5 OZ XX REG   05062;24;4;6;$2,73;$65,52;48;;$0,00;
DEODORANTS;22600190622;2260008161;ARRID SLD XX 2.6 OZ REG        ;12;2;6;$1,67;$20,04;666;;$0,00;
DEODORANTS;22600180623;2260008461;ARRID SLD XX 2.6 OZ UNSC  18062;12;2;6;$1,94;$23,28;600;;$0,00;
DEODORANTS;22600181620;2260008662;ARRID SLD XX 2.6OZ COOL SHOWER ;12;2;6;$1,91;$22,92;771;;$0,00;
DEODORANTS;22600184621;2260008561;ARRID SLD XX 2.6OZ FRESH 18462 ;12;2;6;$1,94;$23,28;1;;$0,00;
DEODORANTS;22600191247;2260019124;ARRID X-D CLR GEL 2.6 COOL SHWR;12;2;6;$1,97;$23,64;181;;$0,00;
DEODORANTS;22600191148;2260019114;ARRID X-D CLR GEL 2.6 MORN CLEN;12;2;6;$1,95;$23,40;772;;$0,00;
DEODORANTS;22600800422;2260088041;ARRID XX  4 OZ REG        80042;12;2;6;$2,19;$26,28;186;;$0,00;
DEODORANTS;22600886716;2260088671;ARRID XX  6 OZ CLEAR SPRY FRESH;12;2;6;$3,10;$37,20;23;;$0,00;
DEODORANTS;22600800729;2260088071;ARRID XX  6 OZ REG        80072;12;2;6;$2,76;$33,12;403;;$0,00;
DEODORANTS;79400551108;7940055110;AXE 2.7 DRY INV/SLD DEO PHENIX ;12;2;6;$2,22;$26,64;682;;$0,00;
DEODORANTS;79400551009;7940055100;AXE 2.7 DRY INV/SOL DEO ESSNCE ;12;2;6;$2,22;$26,64;484;;$0,00;
DEODORANTS;79400260949;7940026094;AXE 2.7 OZ I/S APOLLO          ;12;2;6;$2,18;$26,16;481;;$0,00;
DEODORANTS;79400433855;7940043385;AXE 2.7 OZ I/S WHTE LABLE FORST;12;2;6;$2,61;$31,32;481;;$0,00;
DEODORANTS;79400433879;7940043387;AXE 2.7 OZ I/S WHTE LABLE NIGHT;12;2;6;$2,63;$31,56;759;;$0,00;
DEODORANTS;79400287748;7940028774;AXE 2.7 OZ INV/SLD BLACK CHILL ;12;2;6;$2,20;$26,40;485;;$0,00;
DEODORANTS;79400336293;7940033629;AXE 2.7 OZ INV/SLD DEO PEACE   ;12;2;6;$2,04;$24,48;485;;$0,00;
DEODORANTS;79400114747;7940011474;AXE 2.7 OZ INV/SLD EXCITE      ;12;2;6;$2,24;$26,88;147;;$0,00;
DEODORANTS;79400551207;7940055120;AXE 2.7 OZ INV/SLD KILO        ;12;2;6;$2,48;$29,76;338;;$0,00;
DEODORANTS;79400197436;7940019743;AXE 2.7 OZ INV/SOLID ANARCHY   ;12;2;6;$2,44;$29,28;484;;$0,00;
DEODORANTS;79400061256;7940006125;AXE 2.7OZ DARK TEMPATION  A/P  ;12;2;6;$2,25;$27,00;484;;$0,00;
DEODORANTS;79400357410;7940035741;AXE 2.7OZ DRY INV/SLD HARMONY  ;12;2;6;$2,30;$27,60;273;;$0,00;
DEODORANTS;79400378361;7940037836;AXE 2.7OZ I/SLD GOLD TEMPTATN  ;12;2;6;$2,46;$29,52;481;;$0,00;
DEODORANTS;79400261021;7940026102;AXE 3 OZ DEO STK APPOLO        ;12;2;6;$2,40;$28,80;485;;$0,00;
DEODORANTS;79400336354;7940033635;AXE 3 OZ DEO STK PEACE         ;12;2;6;$2,20;$26,40;10;;$0,00;
DEODORANTS;79400061768;7940006176;AXE 3 OZ DEOD DRK TEMPTATION   ;12;2;6;$2,27;$27,24;298;;$0,00;
DEODORANTS;79400287731;7940028773;AXE 3 OZ DEOD STICK BLACK CHILL;12;2;6;$2,53;$30,36;481;;$0,00;
DEODORANTS;79400534606;7940053460;AXE 3 OZ DEOD STICK ESSENCE    ;12;2;6;$2,34;$28,08;2;;$0,00;
DEODORANTS;79400534309;7940053430;AXE 3 OZ DEODORANT PHOENIX     ;12;2;6;$2,45;$29,40;859;;$0,00;
DEODORANTS;79400440839;7940044083;AXE 3.8OZ A/P SPRAY FOREST     ;12;4;3;$3,96;$47,52;345;;$0,00;
DEODORANTS;79400440853;7940044085;AXE 3.8OZ NIGHT DRY A/P SPRAY  ;12;4;3;$4,07;$48,84;345;;$0,00;
DEODORANTS;79400334602;7940033460;AXE 4 0Z B/SPRAY BLACK CHILL   ;12;2;6;$2,87;$34,44;407;;$0,00;
DEODORANTS;79400260932;7940026093;AXE 4 OZ B/SPRAY APOLLO        ;12;2;6;$2,63;$31,56;407;;$0,00;
DEODORANTS;79400118752;7940011875;AXE 4 OZ B/SPRAY COOL METAL  QQ;12;2;6;$1,76;$21,12;450;;$0,00;
DEODORANTS;79400553003;7940055300;AXE 4 OZ B/SPRAY ESSENCE       ;12;2;6;$2,59;$31,08;407;;$0,00;
DEODORANTS;79400115010;7940011501;AXE 4 OZ B/SPRAY EXCITE        ;12;2;6;$2,48;$29,76;494;;$0,00;
DEODORANTS;79400359353;7940035935;AXE 4 OZ B/SPRAY HARMONY       ;12;2;6;$2,58;$30,96;407;;$0,00;
DEODORANTS;79400551405;7940055140;AXE 4 OZ B/SPRAY KILO          ;12;2;6;$2,53;$30,36;407;;$0,00;
DEODORANTS;79400335210;7940033521;AXE 4 OZ B/SPRAY PEACE         ;12;2;6;$2,39;$28,68;604;;$0,00;
DEODORANTS;79400550200;7940055020;AXE 4 OZ B/SPRAY PHOENIX       ;12;2;6;$2,73;$32,76;407;;$0,00;
DEODORANTS;79400379979;7940037998;AXE 4 OZ B/SPRY DRK TEMPTATION ;12;2;6;$2,44;$29,28;1173;;$0,00;
DEODORANTS;79400338112;7940033811;AXE 4 OZ SPRAY BELOW ZERO      ;12;2;6;$3,02;$36,24;407;;$0,00;
DEODORANTS;79400381071;7940038107;AXE 4OZ B/SPRAY GOLD TEMPTATION;12;2;6;$2,34;$28,08;934;;$0,00;
DEODORANTS;79400197207;7940019720;AXE 4OZ B/SPRAY MEN'S ANARCHY  ;12;2;6;$2,68;$32,16;407;;$0,00;
DEODORANTS;79400197214;7940019721;AXE 4OZ B/SPRAY WMN'S ANARCHY  ;12;2;6;$2,68;$32,16;407;;$0,00;
DEODORANTS;19045001125;1904516707;BAN ROLL ON REG 1.5 OZ         ;12;3;4;$1,98;$23,76;630;;$0,00;
DEODORANTS;827755070085;82775507008;BRUT A/P AERO 4OZ (LOW VOC 40%);12;4;3;$1,95;$23,40;34;;$0,00;
DEODORANTS;827755070108;82775507010;BRUT A/P AERO 6OZ (LOW VOC 40%);12;2;6;$2,80;$33,60;84;;$0,00;
DEODORANTS;827755070047;82775507004;BRUT DEOD AERO 10 OZ (LOW VOC) ;12;2;6;$2,77;$33,24;247;;$0,00;
DEODORANTS;827755070023;82775507002;BRUT OVAL SOLID DEODORANT 2.25Z;12;2;6;$1,60;$19,20;510;;$0,00;
DEODORANTS;827755070016;82775507001;BRUT ROUND SOLID DEOD. 2.5 OZ  ;12;2;6;$1,81;$21,72;725;;$0,00;
DEODORANTS;827755070054;82775507005;BRUT SOLID OVAL A/P 2 OZ       ;12;2;6;$1,60;$19,20;664;;$0,00;
DEODORANTS;79400206954;7940020695;DEGREE  1.7 FOR MEN CLIN SPRT  ;24;8;3;$4,14;$99,36;5;;$0,00;
DEODORANTS;79400116765;7940011676;DEGREE  1.7OZ FOR MEN COOL RSH ;12;2;6;$1,40;$16,80;211;;$0,00;
DEODORANTS;79400017437;7940001743;DEGREE  2.6 OZ I/S SEXY INTRG  ;12;2;6;$2,61;$31,32;484;;$0,00;
DEODORANTS;79400251909;7940025190;DEGREE  2.6 OZ INV/SLD SHWR WN ;12;2;6;$1,82;$21,84;674;;$0,00;
DEODORANTS;79400265401;7940026540;DEGREE  2.7 INV/SLD COOL RSH MN;12;2;6;$1,96;$23,52;674;;$0,00;
DEODORANTS;79400184207;7940018420;DEGREE  2.7 OZ INV/SLD CLN MENS;12;2;6;$1,93;$23,16;674;;$0,00;
DEODORANTS;79400265708;7940026570;DEGREE  2.7 OZ INV/SLD SPRT MN ;12;2;6;$1,90;$22,80;691;;$0,00;
DEODORANTS;79400265609;7940026560;DEGREE  2.7OZ INV/SLD XTRM BLST;12;2;6;$1,98;$23,76;674;;$0,00;
DEODORANTS;79400205704;7940020570;DEGREE  2.7Z SLD COOL CMFRT    ;12;2;6;$1,98;$23,76;674;;$0,00;
